Time,Bangladesh [BGD],China [CHN],India [IND],Pakistan [PAK],Myanmar [MMR],Sri Lanka [LKA],United States [USA]
1961,92.85510925,75.80583793,85.96970419,87.51737247,26.31844867,142.8381424,3066.562869
1962,95.04780145,70.90941167,90.27686893,89.49333554,26.98349598,138.536654,3243.843078
1963,96.55220619,74.31364345,101.315165,93.88388625,28.43417171,117.0719883,3374.515171
1964,94.86755391,85.49855516,115.4876084,102.9612072,20.01857887,120.714348,3573.941185
1965,100.9678718,98.48677775,119.0824759,114.3720186,16.57765208,152.8526755,3827.52711
1966,106.8557193,104.3245662,89.75758261,123.3304709,12.78696419,153.8987913,4146.316646
1967,116.7963159,96.58953194,96.04632985,136.6380925,12.90023822,159.5059914,4336.426587
1968,116.9405302,91.47271831,99.51683612,143.2879463,20.39564174,150.8966192,4695.92339
1969,128.607921,100.1299033,107.1821431,150.5478041,20.68229563,160.9131876,5032.144743
1970,133.1429399,113.1629916,111.9683182,169.1240002,21.22087165,183.9275304,5234.296666
1971,127.9954477,118.6545778,118.1597985,175.19892,20.03866443,185.8597435,5609.3826
1972,90.67836556,131.8835612,122.6124534,150.6172113,22.22352853,196.4228877,6094.01799
1973,113.6657027,157.0903743,143.456125,99.29793153,22.87092841,216.9950075,6726.358956
1974,171.5262053,160.1400937,163.2316156,134.5321801,33.63001149,264.7463142,7225.69136
1975,260.3515161,178.3418196,157.929385,164.8480958,37.18938158,275.6277195,7801.456664
1976,132.4574854,165.4055404,161.1372361,187.4969066,37.34791764,256.2868068,8592.253537
1977,123.5144934,185.4228329,186.4201346,208.7761202,31.70221744,287.5616366,9452.576519
1978,166.0064224,156.3963885,206.0737493,238.1558325,28.48834985,188.0584813,10564.94822
1979,190.0357917,183.9831522,224.5754377,254.3477606,28.01570237,227.5097653,11674.18187
1980,216.109852,194.8047222,267.3905787,293.3918898,30.19791486,267.6685772,12574.79151
1981,235.0383907,197.0714745,271.4250853,333.4583921,31.21854617,289.1308598,13976.10539
1982,209.1957418,203.3349195,275.2654283,349.8417623,37.49581383,307.6382435,14433.78773
1983,193.4093731,225.4319289,292.6448175,315.0172659,40.28904923,328.6506383,15543.89372
1984,202.2878488,250.713969,278.0961873,331.3887658,37.46419564,378.936857,17121.22548
1985,232.1658218,294.4588485,297.9996627,320.67981,35.54232758,369.581896,18236.82773
1986,221.5696191,281.9281209,312.0598439,317.0297983,42.32094032,390.3507114,19071.22719
1987,241.7949085,251.811957,342.0719237,319.9153919,37.87297172,401.4770959,20038.9411
1988,258.8305367,283.5376952,355.7375989,356.3352154,35.8273662,413.4550704,21417.01193
1989,274.3894238,310.8819124,347.4623845,359.7284801,42.41195118,408.4508669,22857.15443
1990,294.9046567,317.884673,368.7497594,346.6685155,50.7829482,463.6187388,23888.60001
1991,283.3822853,333.1421454,303.850438,382.750576,52.5358126,513.2584475,24342.2589
1992,284.9669776,366.4606923,317.5591355,399.4650488,53.7388483,547.0545344,25418.99078
1993,292.4253474,377.3898395,301.5011949,412.6749999,67.23767783,576.7798839,26387.29373
1994,292.0788195,473.4922787,346.2273931,404.6067598,90.26444814,647.5791564,27694.85342
1995,322.0873898,609.6566792,373.6282803,455.5076031,113.7881689,714.2332315,28690.8757
1996,387.3848632,709.4137551,399.5775035,461.399865,132.6388273,756.6569905,29967.71272
1997,395.3180524,781.7441643,414.8988696,441.7546338,128.1057198,817.0644817,31459.13898
1998,401.9651801,828.5804793,412.509511,427.5063275,103.6268381,850.8116039,32853.67695
1999,404.4861431,873.2870617,440.9614546,420.6826016,125.3022579,838.8834628,34515.39023
2000,413.1001853,959.3724836,442.0347789,531.3064961,150.4078289,869.696285,36329.95607
2001,410.0485409,1053.108243,449.9111249,499.2183062,135.1797056,832.8035723,37133.62311
2002,407.9629676,1148.50829,468.8444283,489.4255272,131.4673541,867.4914868,37997.75966
2003,440.7144048,1288.643252,543.8437989,549.870377,165.2586951,982.195697,39490.27496
2004,469.1164584,1508.668098,624.1050944,631.4711708,198.3769239,1065.784437,41724.63163
2005,492.8086489,1753.417829,710.5093449,688.5005879,221.8659075,1248.698185,44123.40707
2006,503.5383322,2099.229435,802.013742,770.8433394,246.6924955,1435.816813,46302.00088
2007,552.3389345,2693.970063,1022.731629,837.6315379,321.8283481,1630.388906,48050.22378
2008,630.1089792,3468.304602,993.5037725,914.7314893,472.2605905,2037.322103,48570.04598
2009,698.5210262,3832.236432,1096.63498,884.4410142,600.9316172,2090.401826,47194.94335
2010,776.8595769,4550.453108,1350.634322,911.0904448,765.2418886,2893.934899,48650.64313
2011,856.3815861,5614.352135,1449.601789,1075.450496,1086.838467,3321.484532,50065.9665
2012,876.8175451,6300.615118,1434.018198,1109.679115,1161.305962,3449.066903,51784.41857
2013,973.7733926,7020.338485,1438.05748,1126.041261,1195.9378,3740.616792,53291.12769
2014,1108.5151,7636.116601,1559.864518,1173.392454,1238.72871,3971.918675,55123.84979
2015,1236.00506,8016.431435,1590.173918,1282.443153,1224.562343,4060.131785,56762.72945
2016,1659.961605,8094.363367,1714.280355,1468.821421,1161.861778,4150.934408,57866.74493
2017,1815.609426,8816.986905,1957.968841,1567.640986,1175.202557,4401.056075,59907.75426
2018,1963.411855,9905.342004,1974.377788,1620.742857,1274.915657,4360.583634,62823.30944
2019,2122.078851,10143.8382,2047.232704,1437.165907,1295.201448,4082.69462,65120.39466
2020,2233.305524,10408.66976,1910.421473,1322.315036,1477.45287,3893.841515,63530.63348
2021,2457.92488,12556.33312,2256.590409,1505.010193,1209.926942,4013.687657,70248.629
